gene name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MAN2B2,608.1650882,-0.133937061,0.190663476,-0.702478861,0.48238058,0.681637647
SLC7A14,55.315598,0.585457864,0.354367458,1.652120846,0.098509918,0.227377097
CLDN11,47.5033219,0.489863318,0.292724657,1.673461072,0.094236564,0.219687953
SLC25A39,474.4572071,-0.155540187,0.230795229,-0.673931553,0.500354831,0.69686375
MVP,363.2670355,0.400442651,0.201183524,1.990434621,0.046543079,0.125961664
NUB1,930.0231132,-0.158050576,0.275849794,-0.572958831,0.566672569,0.74829654
PGM3,269.2047498,0.161969744,0.329642222,0.491350116,0.62317884,0.788999784
RWDD2A,54.12542586,0.786861594,0.410688853,1.915955567,0.055370752,0.14490975
CLK1,3028.437633,0.251036751,0.307293369,0.816928632,0.413969214,0.620853425
POLR3B,184.8436455,-0.142812194,0.271827703,-0.525377629,0.599320702,0.771749682
ANGEL1,347.4258177,1.07037424,0.27023951,3.96083549,7.47E-05,0.00050496
RNF14,129.9028552,-0.598055036,0.27783571,-2.152549201,0.031354125,0.091521589
DNASE1L1,64.04476795,0.117204526,0.293765887,0.398972553,0.689913428,0.835898244
DDX11,486.3792339,-0.254264637,0.354814433,-0.716613005,0.473612918,0.673963861
HEBP1,52.08307868,0.079976413,0.358838127,0.222876018,0.823632002,0.91354902
GPRC5A,39.73189152,0.396269528,0.343736078,1.152830772,0.248979851,0.447497985
MAMLD1,29.04182636,0.348687266,0.632504394,0.551280386,0.581441482,0.758999604
CD6,1680.531746,0.626155204,0.2191619,2.857044053,0.004276065,0.017620959
TACC3,769.8049383,-0.285724047,0.244303623,-1.169544862,0.242184178,0.44005885
UFL1,1049.146137,0.170097437,0.213987763,0.794893291,0.426675577,0.633165174
POLA2,178.3342892,-0.808669075,0.320548771,-2.522764544,0.011643633,0.040795597
ZC3H3,102.5488246,-0.230667894,0.342871504,-0.67275318,0.501104329,0.697463239
CAPN1,294.7586788,-1.137834217,0.273708123,-4.157107955,3.22E-05,0.000240521
ACPP,21.85637162,-0.111037912,0.471244021,-0.235627206,0.81372196,0.909236342
MDH1,386.6110373,-0.405318668,0.193943618,-2.089878869,0.036628682,0.103888597
SLC30A9,482.8888124,-0.460914596,0.30085238,-1.532029082,0.125515258,0.273016658
MTMR11,8.255697407,-0.030501009,0.524122998,-0.058194373,0.953593803,0.979962206
COX15,373.793855,-0.013091612,0.222515524,-0.058834602,0.953083848,0.979807799
CCDC88C,2740.17172,-0.159815971,0.142337107,-1.122799069,0.261522841,0.462073499
YAF2,301.7386005,-0.907529263,0.189926755,-4.77831185,1.77E-06,1.77E-05
ZMYND11,1098.585946,0.026812363,0.173315137,0.154702952,0.877055503,0.941725529
WAS,537.4737186,-0.593125329,0.221338443,-2.679721247,0.007368349,0.027784068
DPEP1,0.290391089,-0.12715697,0.486513638,-0.261363629,0.793812102,NA
BID,153.939246,-1.091740708,0.286570731,-3.809672762,0.000139151,0.00087539
MATR3,2854.473037,-0.072531711,0.183255055,-0.395796509,0.692255152,0.836931742
NPC1L1,2.359846231,0.585375396,0.739673847,0.791396639,0.428712571,0.635046724
XYLT2,141.0363534,-0.020206963,0.192208179,-0.10513061,0.916272171,0.962716277
RGPD5,614.5460626,1.657906903,0.296106171,5.599028545,2.16E-08,3.05E-07
STMN4,9.353665345,0.364160423,0.495552585,0.734857277,0.46242642,0.664429885
NUDCD3,401.7984054,0.959617121,0.243280656,3.944485915,8.00E-05,0.000536575
ISL1,0.294232789,0.160969318,0.48610865,0.331138559,0.740539828,NA
CHDH,26.15154556,-2.32E-05,0.351635697,-6.61E-05,0.999947277,1
IL20RA,1.617744334,0.4550241,0.674793643,0.674315925,0.500110481,NA
CLCA1,0.749358779,0.230915436,0.647558491,0.356593943,0.721395812,NA
CLCA4,1.681733823,0.396535808,0.711367464,0.55742753,0.57723536,NA
GLT8D1,304.7634466,0.422109388,0.185888701,2.270764098,0.023161262,0.071890202
ATP2C1,590.7948528,-0.627944377,0.204671493,-3.068059786,0.002154535,0.009722923
IGF1,15.64601383,0.295972026,0.515550699,0.574089079,0.565907523,0.747718565
SLC38A5,34.68341701,-1.426876146,0.442393695,-3.225353715,0.001258171,0.00608964
RALBP1,582.8768604,-0.603578775,0.266772874,-2.262519296,0.023665338,0.073136657
RUFY3,183.7263842,0.921814065,0.230780041,3.99434051,6.49E-05,0.000446091
CNTN1,3.418311926,0.261159237,0.726878078,0.359288916,0.719378965,0.855267442
SLC11A1,43.92658501,0.09542801,0.405172216,0.235524566,0.813801614,0.909236342
WWTR1,17.65833143,0.463365627,0.503598523,0.920109186,0.357515704,0.565543592
AGPS,464.0939551,-0.910053256,0.233006432,-3.905700142,9.40E-05,0.000620511
ZNF806,0.15787023,-0.119992758,0.48574618,-0.247027692,0.804886793,NA
CXorf56,54.14255577,0.520794985,0.29620936,1.75819895,0.078713664,0.190440257
ATP1A2,5.377203311,-0.215123569,0.732901325,-0.293523237,0.769122241,0.885982975
TTC27,310.685302,0.162522173,0.213257363,0.762094077,0.446003858,0.649536505
ZNF582,37.29452489,1.646386395,0.410268485,4.012948726,6.00E-05,0.00041728
VSIG2,5.612166274,1.017603022,0.646084983,1.575029676,0.115249595,0.255877272
PHLDB1,79.9895423,0.486752733,0.344485294,1.412985523,0.157659981,0.323372168
MARCO,0.540279875,0.125599224,0.575147539,0.2183774,0.827135073,NA
CYP24A1,1.961763094,0.658028554,0.738927073,0.89051894,0.373187303,0.581089046
PRDM11,141.4124375,1.014163113,0.26664323,3.80344595,0.000142697,0.000894969
SYT13,2.386632714,0.155177378,0.716328288,0.216628857,0.828497595,0.916133952
SNAI2,1.367026625,-0.303912735,0.648143332,-0.468897419,0.639142961,NA
CD74,2666.667467,-3.133593206,0.214690018,-14.59589612,2.98E-48,1.54E-45
HGF,1.994557273,0.860988385,0.741799426,1.160675453,0.245773908,0.444188752
ZRANB1,663.1746864,0.274061213,0.227882944,1.202640302,0.229115545,0.424291434
NCDN,170.0264468,0.149924154,0.255431721,0.58694415,0.557241217,0.741017781
ADGRA2,7.312083249,0.788783745,0.622481179,1.267160793,0.205097801,0.39133749
CCT8L1P,0.14345538,0.069523026,0.48574618,0.143126244,0.886190478,NA
ZFP64,128.790462,-0.382960052,0.213375287,-1.794772288,0.072689988,0.179160974
MNAT1,143.401416,-0.977194062,0.238031487,-4.105314275,4.04E-05,0.000293939
SAMD4A,27.16507048,0.240666879,0.403639768,0.596241744,0.551013743,0.736432301
RUNX3,2330.626524,-1.130082951,0.163397598,-6.916153999,4.64E-12,1.16E-10
MRE11,431.0563226,-0.387273642,0.186621523,-2.075182086,0.037969662,0.106826384
PLEKHB1,242.6685211,2.600044655,0.282981718,9.188030486,4.00E-20,2.31E-18
SERPINB1,426.9827402,-0.639321907,0.167871222,-3.80840682,0.000139865,0.000879005
CYP3A43,13.32156798,0.867906882,0.461349877,1.881233581,0.059940151,0.15423158
SLC7A9,6.446160145,0.600245948,0.557910378,1.075882386,0.281979861,0.486586399
SPAST,449.6899076,-0.700657708,0.210507888,-3.328415454,0.000873415,0.004434482
NRXN3,18.0779577,-0.065436833,0.688749731,-0.095008143,0.924308359,0.967052147
OSBPL5,73.37576245,1.326804331,0.299821068,4.425320538,9.63E-06,8.22E-05
AQR,1278.096597,0.007270136,0.178548528,0.040717986,0.967520723,0.985799893
CPS1,15.21146347,0.650029394,0.560253761,1.160241019,0.245950691,0.444303573
C8B,1.913767829,0.210065157,0.703691826,0.298518682,0.765307319,0.883905791
FHL1,93.9045237,0.831566359,0.31099998,2.673846983,0.007498666,0.028155282
RTFDC1,442.6990129,-0.948903166,0.191320925,-4.959745856,7.06E-07,7.68E-06
GABRA1,4.245615096,0.135548245,0.718752781,0.188588133,0.850415634,0.927409071
NLRP2,22.69896088,-0.080308529,0.425004056,-0.188959441,0.850124606,0.927409071
SLC45A4,47.13270802,-0.103032203,0.279678046,-0.368395748,0.712578167,0.850573627
RNF10,576.7151706,-0.206075264,0.20068772,-1.026845405,0.304493265,0.511272374
ZNF839,192.8127544,0.745686276,0.392408171,1.900282232,0.057396092,0.149049873
ZDHHC6,963.4343319,0.189224724,0.189090545,1.0007096,0.316967225,0.525408859
GRAMD1B,241.648939,-2.766063772,0.310258596,-8.915349346,4.86E-19,2.54E-17
RNH1,90.60924125,0.123758757,0.273115897,0.453136412,0.650450518,0.809658592
NDUFS1,460.2670661,-0.532247072,0.148295149,-3.589106421,0.000331813,0.0019017
RB1CC1,973.8296634,-0.578369004,0.262143113,-2.206310126,0.027362293,0.0821666
ERP44,431.3443113,-0.469743418,0.200441139,-2.34354794,0.019101307,0.06133746
ALAS1,107.4683039,-1.215296709,0.317227894,-3.830989433,0.000127629,0.000810881
BIRC3,1441.064392,1.646714098,0.245841547,6.698274218,2.11E-11,4.81E-10
AKAP11,1974.823728,0.37992502,0.155419817,2.444508209,0.014504978,0.049015729
GLRX2,16.06404164,-0.752277126,0.625373799,-1.20292396,0.229005748,0.424172787
SNAPC1,155.2121174,1.145054577,0.205890684,5.561468607,2.68E-08,3.74E-07
DERA,99.56528983,-1.169675565,0.337046713,-3.470366331,0.000519749,0.002823899
STRAP,649.8062779,-0.721210382,0.179646632,-4.014605633,5.95E-05,0.000414983
ABCC2,33.61616677,1.035641212,0.475227598,2.179253093,0.029312872,0.086829378
DEF6,784.5864565,0.030691504,0.139996003,0.219231287,0.826469884,0.915001207
PLEKHO1,250.7881206,1.204862907,0.313979485,3.837393725,0.000124347,0.000792472
GCLM,192.2526219,-0.229679673,0.202916909,-1.131890262,0.257680573,0.457506938
UBR2,1282.697759,-0.536979457,0.18435543,-2.912740122,0.003582726,0.015144083
EHD2,31.28295146,0.784794945,0.741110246,1.058944939,0.289624856,0.495492469
DEPDC1,15.06146049,-3.509150844,0.59328459,-5.914785084,3.32E-09,5.36E-08
CCDC28A,182.905663,-0.646737185,0.247527274,-2.612791606,0.008980604,0.032782416
RRAGD,45.64599069,1.965063822,0.357580704,5.495441441,3.90E-08,5.31E-07
HSF2,215.7084984,0.831224426,0.298848972,2.781419725,0.005412171,0.021399532
PHF20,998.0917531,0.882570439,0.18949778,4.65741836,3.20E-06,3.05E-05
HSD17B6,3.730282,-0.537771838,0.735995385,-0.730672839,0.46497901,0.666328641
NR1H3,19.38700541,-0.409868441,0.481070743,-0.851992035,0.394218513,0.602185414
TYMP,37.92259904,-0.467584883,0.455506933,-1.026515403,0.304648707,0.511478987
NCAPH2,131.1812998,-0.221701082,0.293542605,-0.755260322,0.450092801,0.652914352
TOMM34,117.4828969,-0.914748518,0.283524788,-3.226344068,0.001253825,0.00607336
SEC63,1017.875804,0.046987855,0.219092856,0.21446548,0.830184084,0.916746169
KPNA6,1020.633415,-0.019769365,0.210034491,-0.094124374,0.925010358,0.967404711
VIM,6746.768676,0.323240407,0.279642089,1.15590757,0.247718966,0.446189282
RTEL1-TNFRSF6B,40.23025849,0.000237527,0.523599749,0.000453643,0.999638045,1
FAS,126.6985672,-2.671660483,0.358907091,-7.443877677,9.78E-14,2.99E-12
RNASET2,325.7319551,0.562795712,0.35392383,1.590160549,0.111798621,0.250312335
CD44,11501.159,-0.121000619,0.180633451,-0.669868282,0.502941761,0.698553234
KCNG1,6.689741962,1.096720774,0.662057382,1.656534317,0.097613661,0.225970632
AGPAT4,193.3407914,-1.674979878,0.274018011,-6.112663439,9.80E-10,1.72E-08
SLAMF7,796.0848351,-5.924169549,0.410737166,-14.4232615,3.69E-47,1.85E-44
BTN3A1,2252.549281,0.503078492,0.22012803,2.285390426,0.022289945,0.069628398
MIPEP,54.12290046,-0.9088413,0.381793243,-2.380454123,0.017291314,0.056706462
PRKCH,4921.309989,-0.689055366,0.171961648,-4.007029317,6.15E-05,0.000426115
INSRR,1.89259191,-0.63972405,0.738692839,-0.866021729,0.386478246,0.593659225
IFNGR1,178.4196608,-0.944030375,0.216230454,-4.365852987,1.27E-05,0.000105233
B4GALT7,112.4076077,0.736362657,0.364295123,2.021335478,0.043245049,0.118575546
SH2D2A,414.88104,-1.099564376,0.262395352,-4.19048725,2.78E-05,0.000211469
VRK2,176.4160155,-1.09627017,0.25645127,-4.274769894,1.91E-05,0.000151759
TNFRSF1B,542.8254528,-3.406411299,0.226723516,-15.02451693,5.07E-51,3.25E-48
VEZT,431.938306,-0.011490549,0.231509191,-0.049633231,0.960414665,0.982794228
POU2F2,463.1803447,0.539866762,0.256344253,2.10602249,0.035202399,0.100674411
BRD9,281.2836333,0.342807094,0.219745595,1.560018047,0.118755616,0.261999548
SNX1,1190.409284,0.012554976,0.311719793,0.040276481,0.967872704,0.985876476
TBPL1,175.5906321,-0.623200654,0.258607148,-2.409835377,0.01595972,0.053052271
ARNTL2,74.62124402,-2.765671996,0.481464866,-5.744286225,9.23E-09,1.38E-07
BCLAF1,6448.8751,0.025253667,0.212401032,0.11889616,0.905357624,0.957211753
SLC39A9,488.5664401,-0.491773743,0.188255353,-2.612269639,0.008994328,0.032814706
ANK1,20.23435367,0.573194286,0.479983742,1.194195209,0.232401617,0.428040907
IBSP,0.50119335,-0.103749413,0.566259074,-0.183218986,0.854626198,NA
TFB1M,131.0923289,0.317411017,0.210003924,1.511452791,0.130673128,0.281431144
RABEP1,1068.060219,-0.219759926,0.168232507,-1.30628694,0.191454997,0.372900063
HMGB3,84.36924686,-4.387288475,0.420063715,-10.44434052,1.56E-25,1.45E-23
NUP160,822.1479147,0.41786705,0.263544386,1.585566118,0.112837767,0.251919939
BAK1,120.1631076,-1.711033107,0.26240508,-6.52057921,7.00E-11,1.48E-09
MUSK,1.378099284,0.48417947,0.730001017,0.663258624,0.507164931,NA
IKZF2,289.8239287,-1.631610542,0.39792488,-4.100297882,4.13E-05,0.000299839
GRN,80.13716451,-1.095985174,0.519645678,-2.109100915,0.034935872,0.100097343
FAM13B,965.9769543,-0.124599638,0.217940035,-0.571715236,0.567514911,0.748569763
ARHGAP31,66.8541134,-0.704785737,0.45282209,-1.55642967,0.119605954,0.263249456
CENPQ,24.16585293,-0.996685528,0.465286423,-2.142090287,0.032186217,0.093489699
SARS,383.4006187,-0.010945823,0.185094183,-0.059136505,0.952843383,0.979777765
RANBP3,379.8428768,0.085228766,0.170837143,0.498888968,0.617857606,0.784887312
ARID4A,1435.323989,0.048697323,0.190417022,0.255740388,0.798151307,0.901071201
EIPR1,87.86504424,-0.955035245,0.235630424,-4.053106683,5.05E-05,0.000358293
PNPLA6,146.4175068,-0.146353276,0.290023426,-0.504625705,0.613821752,0.782170557
IFT88,111.7153911,0.601005673,0.308285025,1.949513026,0.051234189,0.13619382
ALG1,72.3719334,0.339226695,0.244919976,1.38505115,0.166036828,0.335217676
ZCCHC8,270.0027762,-0.22916478,0.196626626,-1.16548193,0.243823971,0.441891441
ABCF2,288.4767585,0.102640878,0.271106736,0.378599513,0.704985284,0.845654432
CHPF2,171.7401625,-0.071334489,0.260807673,-0.273513766,0.784458312,0.893661075
